FullName,Position,TeamName,RatingTier,StatCheck,value
Julian Fleming,WR,CAR,tier_4,ScrimmmageYardsPerGame,38.86666666666667
Jared Pinkney,TE,CAR,tier_6,ScrimmmageYardsPerGame,2.933333333333333
Seth Williams,WR,LAR,tier_6,ScrimmmageYardsPerGame,6.5
Thomas Fletcher,TE,CAR,tier_6,ScrimmmageYardsPerGame,0.0
Terrace Marshall Jr,WR,CAR,tier_5,ScrimmmageYardsPerGame,53.857142857142854
Will Dissly,TE,SEA,tier_3,ScrimmmageYardsPerGame,38.42857142857143
Colby Parkinson,TE,SEA,tier_6,ScrimmmageYardsPerGame,0.0
Allen Lazard,WR,ATL,tier_4,ScrimmmageYardsPerGame,53.93333333333333
Josh Allen,QB,BUF,tier_2,ScrimmmageYardsPerGame,18.933333333333334
Devin Singletary,HB,BUF,tier_2,ScrimmmageYardsPerGame,78.86666666666666
Dawson Knox,TE,BUF,tier_1,ScrimmmageYardsPerGame,48.06666666666667
Tyler Conklin,TE,MIN,tier_5,ScrimmmageYardsPerGame,9.733333333333333
Alec Ingold,FB,MIN,tier_3,ScrimmmageYardsPerGame,22.666666666666668
Tommy Tremble,TE,CAR,tier_4,ScrimmmageYardsPerGame,39.4
Bru McCoy,WR,LV,tier_5,ScrimmmageYardsPerGame,0.5384615384615384
D.J. Uiagalelei,QB,LV,tier_6,ScrimmmageYardsPerGame,2.5833333333333335
Luke Ford,TE,LV,tier_6,ScrimmmageYardsPerGame,4.857142857142857
Jonnu Smith,TE,NE,tier_4,ScrimmmageYardsPerGame,18.285714285714285
Hunter Henry,TE,NE,tier_2,ScrimmmageYardsPerGame,54.714285714285715
Rhamondre Stevenson,HB,NE,tier_5,ScrimmmageYardsPerGame,41.666666666666664
Mac Jones,QB,NE,tier_4,ScrimmmageYardsPerGame,4.933333333333334
Nate McCrary,HB,LAR,tier_6,ScrimmmageYardsPerGame,23.6
Drew Sample,TE,LAR,tier_5,ScrimmmageYardsPerGame,20.2
Darren Waller,TE,LV,tier_2,ScrimmmageYardsPerGame,43.642857142857146
Jacob Harris,TE,LAR,tier_6,ScrimmmageYardsPerGame,0.5714285714285714
Benny Snell,HB,ARI,tier_4,ScrimmmageYardsPerGame,50.6
Austin Ekeler,HB,ARI,tier_4,ScrimmmageYardsPerGame,42.46153846153846
Tyler Shough,QB,ARI,tier_6,ScrimmmageYardsPerGame,0.5714285714285714
Sam Darnold,QB,BAL,tier_6,ScrimmmageYardsPerGame,5.583333333333333
Jimmy Garoppolo,QB,NYG,tier_5,ScrimmmageYardsPerGame,1.3076923076923077
Bryce Young,QB,NYG,tier_5,ScrimmmageYardsPerGame,20.6
Kendall Milton,HB,NYG,tier_4,ScrimmmageYardsPerGame,33.666666666666664
Russell Wilson,QB,SEA,tier_1,ScrimmmageYardsPerGame,23.533333333333335
Chris Carson,HB,SEA,tier_4,ScrimmmageYardsPerGame,17.6
Dominique Dafney,TE,NYG,tier_6,ScrimmmageYardsPerGame,2.5
Collin Johnson,WR,NYG,tier_5,ScrimmmageYardsPerGame,9.857142857142858
Zonovan Knight,HB,NYG,tier_3,ScrimmmageYardsPerGame,80.3076923076923
Zach Davidson,TE,NYG,tier_6,ScrimmmageYardsPerGame,2.6666666666666665
Kadarius Toney,WR,NYG,tier_3,ScrimmmageYardsPerGame,55.53846153846154
Sterling Shepard,WR,NYG,tier_4,ScrimmmageYardsPerGame,61.666666666666664
Evan Engram,TE,NYG,tier_3,ScrimmmageYardsPerGame,50.4
Jadon Haselwood,WR,CLE,tier_5,ScrimmmageYardsPerGame,45.53846153846154
Grayson McCall,QB,CLE,tier_5,ScrimmmageYardsPerGame,10.538461538461538
Harrison Bryant,TE,CLE,tier_5,ScrimmmageYardsPerGame,12.733333333333333
N'Keal Harry,WR,ATL,tier_5,ScrimmmageYardsPerGame,35.142857142857146
Zamir White,HB,ATL,tier_3,ScrimmmageYardsPerGame,110.86666666666666
Kenny Pickett,QB,ATL,tier_5,ScrimmmageYardsPerGame,9.133333333333333
Jacob Breeland,TE,ATL,tier_6,ScrimmmageYardsPerGame,1.8
Feleipe Franks,QB,ATL,tier_6,ScrimmmageYardsPerGame,0.0
Emanuel Hall,WR,PHI,tier_6,ScrimmmageYardsPerGame,4.857142857142857
Frank Darby,WR,ATL,tier_6,ScrimmmageYardsPerGame,10.615384615384615
Kyle Pitts,TE,ATL,tier_0,ScrimmmageYardsPerGame,57.2
Calvin Ridley,WR,ATL,tier_2,ScrimmmageYardsPerGame,62.46153846153846
Chris Rodriguez Jr,HB,MIN,tier_5,ScrimmmageYardsPerGame,7.7272727272727275
Jameson Williams,WR,MIN,tier_4,ScrimmmageYardsPerGame,59.30769230769231
Tua Tagovailoa,QB,MIN,tier_6,ScrimmmageYardsPerGame,17.4
Drake London,WR,KC,tier_3,ScrimmmageYardsPerGame,53.46666666666667
Noah Gray,TE,KC,tier_5,ScrimmmageYardsPerGame,37.0
Clyde Edwards-Helaire,HB,KC,tier_3,ScrimmmageYardsPerGame,87.53333333333333
Tyreek Hill,WR,KC,tier_1,ScrimmmageYardsPerGame,81.33333333333333
Patrick Mahomes,QB,KC,tier_0,ScrimmmageYardsPerGame,23.266666666666666
Preston Williams,WR,CHI,tier_5,ScrimmmageYardsPerGame,49.4
Brett Rypien,QB,CHI,tier_6,ScrimmmageYardsPerGame,0.0
Mitchell Wilcox,TE,CHI,tier_6,ScrimmmageYardsPerGame,2.933333333333333
Melvin Gordon III,HB,PHI,tier_5,ScrimmmageYardsPerGame,13.714285714285714
Sam LaPorta,TE,BAL,tier_6,ScrimmmageYardsPerGame,2.3333333333333335
Jake Smith,WR,BAL,tier_5,ScrimmmageYardsPerGame,35.06666666666667
Thaddeus Moss,TE,BAL,tier_6,ScrimmmageYardsPerGame,9.466666666666667
Tylan Wallace,WR,BAL,tier_5,ScrimmmageYardsPerGame,10.818181818181818
Rashod Bateman,WR,BAL,tier_3,ScrimmmageYardsPerGame,67.33333333333333
J.K. Dobbins,HB,BAL,tier_2,ScrimmmageYardsPerGame,83.0
Marquise Brown,WR,BAL,tier_3,ScrimmmageYardsPerGame,51.30769230769231
Mark Andrews,TE,BAL,tier_1,ScrimmmageYardsPerGame,75.16666666666667
Sincere McCormick,HB,TB,tier_4,ScrimmmageYardsPerGame,25.846153846153847
Matthew Stafford,QB,TB,tier_4,ScrimmmageYardsPerGame,11.733333333333333
Baker Mayfield,QB,CAR,tier_4,ScrimmmageYardsPerGame,7.285714285714286
Elijhaa Penny,FB,TB,tier_6,ScrimmmageYardsPerGame,0.13333333333333333
Khalil Herbert,HB,CHI,tier_4,ScrimmmageYardsPerGame,68.14285714285714
Justin Fields,QB,CHI,tier_5,ScrimmmageYardsPerGame,19.333333333333332
Darnell Mooney,WR,CHI,tier_3,ScrimmmageYardsPerGame,61.733333333333334
Cole Kmet,TE,CHI,tier_3,ScrimmmageYardsPerGame,41.46666666666667
Allen Robinson II,WR,CHI,tier_3,ScrimmmageYardsPerGame,64.64285714285714
Justin Jefferson,WR,LAC,tier_1,ScrimmmageYardsPerGame,73.15384615384616
Kyle Sloter,QB,LAC,tier_6,ScrimmmageYardsPerGame,7.2
Matt Corral,QB,NYJ,tier_3,ScrimmmageYardsPerGame,37.36363636363637
TJ Pledger,HB,LAC,tier_6,ScrimmmageYardsPerGame,18.384615384615383
Kyren Williams,HB,LAC,tier_5,ScrimmmageYardsPerGame,94.35714285714286
Christopher Herndon IV,TE,LAC,tier_5,ScrimmmageYardsPerGame,3.933333333333333
Donald Parham Jr,TE,LAC,tier_5,ScrimmmageYardsPerGame,34.0
Khari Blasingame,FB,DEN,tier_5,ScrimmmageYardsPerGame,5.933333333333334
Jake Ferguson,TE,DEN,tier_6,ScrimmmageYardsPerGame,2.466666666666667
Tanner Morgan,QB,DEN,tier_6,ScrimmmageYardsPerGame,0.2
Javonte Williams,HB,DEN,tier_2,ScrimmmageYardsPerGame,93.7
Albert Okwuegbunam,TE,DEN,tier_5,ScrimmmageYardsPerGame,24.6
Jerry Jeudy,WR,DEN,tier_3,ScrimmmageYardsPerGame,40.1
Michael Gallup,WR,MIA,tier_3,ScrimmmageYardsPerGame,54.30769230769231
Courtland Sutton,WR,DEN,tier_3,ScrimmmageYardsPerGame,48.09090909090909
Tim Patrick,WR,DEN,tier_4,ScrimmmageYardsPerGame,54.61538461538461
Max Borghi,HB,IND,tier_5,ScrimmmageYardsPerGame,5.5
Isaiah Weston,WR,TB,tier_6,ScrimmmageYardsPerGame,1.5454545454545454
Jacoby Brissett,QB,LAR,tier_6,ScrimmmageYardsPerGame,0.25
Chase Brice,QB,NYJ,tier_6,ScrimmmageYardsPerGame,4.7272727272727275
Lyn-J Dixon,HB,NYJ,tier_6,ScrimmmageYardsPerGame,22.923076923076923
Ryan Nall,HB,DEN,tier_6,ScrimmmageYardsPerGame,29.833333333333332
Travell Harris,WR,ARI,tier_6,ScrimmmageYardsPerGame,0.0
Rondale Moore,WR,ARI,tier_3,ScrimmmageYardsPerGame,62.142857142857146
Brandon Aiyuk,WR,SF,tier_4,ScrimmmageYardsPerGame,81.46153846153847
Karan Higdon,HB,SF,tier_6,ScrimmmageYardsPerGame,23.53846153846154
Kyle Juszczyk,FB,SF,tier_4,ScrimmmageYardsPerGame,11.066666666666666
Chris Streveler,QB,PIT,tier_6,ScrimmmageYardsPerGame,0.0
Gardner Minshew II,QB,PIT,tier_6,ScrimmmageYardsPerGame,10.866666666666667
Isaiah Coulter,WR,PIT,tier_6,ScrimmmageYardsPerGame,5.833333333333333
Patrick Ricard,FB,PIT,tier_3,ScrimmmageYardsPerGame,1.0
Najee Harris,HB,PIT,tier_0,ScrimmmageYardsPerGame,105.0
Pat Freiermuth,TE,PIT,tier_5,ScrimmmageYardsPerGame,31.666666666666668
Chase Claypool,WR,LAR,tier_3,ScrimmmageYardsPerGame,57.3125
Curtis Samuel,WR,WAS,tier_3,ScrimmmageYardsPerGame,47.92857142857143
Johnny Wilson,WR,MIA,tier_6,ScrimmmageYardsPerGame,0.0
Miles Sanders,HB,PHI,tier_0,ScrimmmageYardsPerGame,94.6
Charlie Taumoepeau,TE,MIA,tier_6,ScrimmmageYardsPerGame,0.7333333333333333
CJ Verdel,HB,MIA,tier_4,ScrimmmageYardsPerGame,24.916666666666668
Marlon Mack,HB,MIA,tier_4,ScrimmmageYardsPerGame,88.27272727272727
Gerald Everett,TE,NYJ,tier_4,ScrimmmageYardsPerGame,44.2
Drew Lock,QB,MIA,tier_6,ScrimmmageYardsPerGame,0.0
Jaylen Waddle,WR,MIA,tier_2,ScrimmmageYardsPerGame,57.4
Hunter Long,TE,MIA,tier_5,ScrimmmageYardsPerGame,1.9333333333333333
Mike Gesicki,TE,MIA,tier_2,ScrimmmageYardsPerGame,42.8
Masen Wake,FB,DAL,tier_5,ScrimmmageYardsPerGame,1.3333333333333333
Arik Gilbert,TE,ATL,tier_4,ScrimmmageYardsPerGame,11.0
K.J. Osborn,WR,MIN,tier_5,ScrimmmageYardsPerGame,60.666666666666664
Jonathan Taylor,HB,IND,tier_0,ScrimmmageYardsPerGame,75.06666666666666
Mo Alie-Cox,TE,IND,tier_5,ScrimmmageYardsPerGame,6.75
John Fitzpatrick,TE,TEN,tier_6,ScrimmmageYardsPerGame,3.066666666666667
Bo Nix,QB,TEN,tier_6,ScrimmmageYardsPerGame,1.2666666666666666
Carson Wentz,QB,TEN,tier_5,ScrimmmageYardsPerGame,10.583333333333334
Leddie Brown,HB,TEN,tier_5,ScrimmmageYardsPerGame,30.133333333333333
Treylon Burks,WR,TEN,tier_4,ScrimmmageYardsPerGame,70.06666666666666
Trishton Jackson,WR,TEN,tier_6,ScrimmmageYardsPerGame,1.3333333333333333
Briley Moore,TE,TEN,tier_6,ScrimmmageYardsPerGame,30.466666666666665
A.J. Brown,WR,TEN,tier_1,ScrimmmageYardsPerGame,52.13333333333333
Joey Gatewood,QB,KC,tier_6,ScrimmmageYardsPerGame,1.0714285714285714
Hudson Henry,TE,KC,tier_5,ScrimmmageYardsPerGame,1.7333333333333334
Marvin Mims,WR,KC,tier_4,ScrimmmageYardsPerGame,37.84615384615385
Damion Willis,WR,LAC,tier_6,ScrimmmageYardsPerGame,0.0
Larry Rountree III,HB,LAC,tier_6,ScrimmmageYardsPerGame,13.666666666666666
Tre' McKitty,TE,LAC,tier_6,ScrimmmageYardsPerGame,1.2666666666666666
Justin Herbert,QB,LAC,tier_2,ScrimmmageYardsPerGame,8.9
Mike Williams,WR,LAC,tier_3,ScrimmmageYardsPerGame,61.0
Kaleb Eleby,QB,WAS,tier_6,ScrimmmageYardsPerGame,6.166666666666667
Jalen Hurts,QB,WAS,tier_5,ScrimmmageYardsPerGame,30.666666666666668
Jalen Wydermyer,TE,WAS,tier_5,ScrimmmageYardsPerGame,22.333333333333332
John Bates,TE,WAS,tier_6,ScrimmmageYardsPerGame,0.4666666666666667
Dyami Brown,WR,WAS,tier_3,ScrimmmageYardsPerGame,60.733333333333334
Antonio Gibson,HB,WAS,tier_2,ScrimmmageYardsPerGame,95.25
Jace Sternberger,TE,WAS,tier_6,ScrimmmageYardsPerGame,26.923076923076923
Terry McLaurin,WR,WAS,tier_1,ScrimmmageYardsPerGame,56.93333333333333
Austin Hooper,TE,CLE,tier_2,ScrimmmageYardsPerGame,36.92857142857143
Brevyn Spann-Ford,TE,HOU,tier_6,ScrimmmageYardsPerGame,2.933333333333333
C.J. Stroud,QB,HOU,tier_5,ScrimmmageYardsPerGame,12.666666666666666
Myles Gaskin,HB,HOU,tier_5,ScrimmmageYardsPerGame,69.1
Ross Dwelley,TE,HOU,tier_5,ScrimmmageYardsPerGame,46.6
Zach Wilson,QB,PHI,tier_4,ScrimmmageYardsPerGame,27.733333333333334
Dom Wood-Anderson,TE,HOU,tier_6,ScrimmmageYardsPerGame,1.5333333333333334
Kaden Smith,TE,NE,tier_6,ScrimmmageYardsPerGame,3.0
Kyle Phillips,WR,PIT,tier_6,ScrimmmageYardsPerGame,36.4
Irv Smith Jr,TE,MIN,tier_3,ScrimmmageYardsPerGame,28.0
Kellen Mond,QB,MIN,tier_6,ScrimmmageYardsPerGame,0.0
Jake Funk,HB,LAR,tier_6,ScrimmmageYardsPerGame,53.3
Cade Otton,TE,NYJ,tier_5,ScrimmmageYardsPerGame,3.2666666666666666
Brycen Hopkins,TE,LAR,tier_6,ScrimmmageYardsPerGame,3.6666666666666665
Cam Akers,HB,LAR,tier_1,ScrimmmageYardsPerGame,101.5
Robert Woods,WR,LAR,tier_3,ScrimmmageYardsPerGame,70.53333333333333
Kyle Trask,QB,SF,tier_6,ScrimmmageYardsPerGame,0.0
Noah Togiai,TE,SF,tier_6,ScrimmmageYardsPerGame,5.866666666666666
Isaiah Hodgins,WR,SF,tier_6,ScrimmmageYardsPerGame,15.266666666666667
Deshaun Watson,QB,MIA,tier_3,ScrimmmageYardsPerGame,19.333333333333332
D.J. Chark Jr,WR,NYJ,tier_3,ScrimmmageYardsPerGame,60.266666666666666
Trey Lance,QB,SF,tier_4,ScrimmmageYardsPerGame,13.8
Charlie Woerner,TE,SF,tier_6,ScrimmmageYardsPerGame,25.333333333333332
Tee Higgins,WR,CIN,tier_2,ScrimmmageYardsPerGame,66.28571428571429
Joe Burrow,QB,CIN,tier_3,ScrimmmageYardsPerGame,7.066666666666666
Joe Mixon,HB,CIN,tier_1,ScrimmmageYardsPerGame,73.8
Romeo Doubs,WR,IND,tier_5,ScrimmmageYardsPerGame,6.066666666666666
Will Fuller V,WR,IND,tier_4,ScrimmmageYardsPerGame,42.53333333333333
Christian Kirk,WR,IND,tier_4,ScrimmmageYardsPerGame,60.13333333333333
Jameis Winston,QB,IND,tier_5,ScrimmmageYardsPerGame,16.466666666666665
Michael Carter,HB,NYJ,tier_3,ScrimmmageYardsPerGame,70.6
Marcus Mariota,QB,IND,tier_6,ScrimmmageYardsPerGame,0.5333333333333333
Robert Tonyan,TE,IND,tier_4,ScrimmmageYardsPerGame,35.666666666666664
Kearis Jackson,WR,NYJ,tier_5,ScrimmmageYardsPerGame,4.266666666666667
Kylen Granson,TE,IND,tier_5,ScrimmmageYardsPerGame,3.1333333333333333
Taylor Heinicke,QB,NE,tier_6,ScrimmmageYardsPerGame,0.0
Michael Pittman Jr,WR,IND,tier_4,ScrimmmageYardsPerGame,48.23076923076923
D.J. Moore,WR,CAR,tier_1,ScrimmmageYardsPerGame,79.0
Davis Mills,QB,HOU,tier_6,ScrimmmageYardsPerGame,0.2
Brandin Cooks,WR,HOU,tier_3,ScrimmmageYardsPerGame,57.0
Josh Rosen,QB,NO,tier_6,ScrimmmageYardsPerGame,0.0
Chris Evans,HB,CIN,tier_5,ScrimmmageYardsPerGame,48.0
Sam Howell,QB,NO,tier_4,ScrimmmageYardsPerGame,13.333333333333334
Tony Poljan,TE,NO,tier_6,ScrimmmageYardsPerGame,11.8
Dylan Soehner,TE,NO,tier_6,ScrimmmageYardsPerGame,2.6666666666666665
Kenny Yeboah,TE,PHI,tier_6,ScrimmmageYardsPerGame,5.2
Dez Fitzpatrick,WR,MIN,tier_6,ScrimmmageYardsPerGame,1.0666666666666667
Quintez Cephus,WR,DET,tier_5,ScrimmmageYardsPerGame,8.5
Derrick Henry,HB,TEN,tier_1,ScrimmmageYardsPerGame,57.90909090909091
C.J. Beathard,QB,LAC,tier_6,ScrimmmageYardsPerGame,0.0
Tommy Stevens,TE,DAL,tier_6,ScrimmmageYardsPerGame,1.7333333333333334
Charlie Kolar,TE,DAL,tier_6,ScrimmmageYardsPerGame,3.1666666666666665
Zerrick Cooper,QB,DAL,tier_6,ScrimmmageYardsPerGame,0.21428571428571427
CeeDee Lamb,WR,DAL,tier_2,ScrimmmageYardsPerGame,60.13333333333333
Dak Prescott,QB,DAL,tier_2,ScrimmmageYardsPerGame,20.733333333333334
Ezekiel Elliott,HB,DAL,tier_3,ScrimmmageYardsPerGame,101.76923076923077
Dalton Schultz,TE,DAL,tier_4,ScrimmmageYardsPerGame,34.214285714285715
Amari Cooper,WR,DAL,tier_3,ScrimmmageYardsPerGame,71.8
Cooper Kupp,WR,NE,tier_3,ScrimmmageYardsPerGame,67.15384615384616
Case Hatch,FB,JAX,tier_6,ScrimmmageYardsPerGame,2.0
Josh Whyle,TE,JAX,tier_6,ScrimmmageYardsPerGame,12.8
Bijan Robinson,HB,JAX,tier_3,ScrimmmageYardsPerGame,44.2
Dwayne Haskins Jr,QB,JAX,tier_6,ScrimmmageYardsPerGame,0.8
John Metchie III,WR,JAX,tier_4,ScrimmmageYardsPerGame,56.46666666666667
Maxx Williams,TE,JAX,tier_5,ScrimmmageYardsPerGame,36.666666666666664
Auden Tate,WR,JAX,tier_4,ScrimmmageYardsPerGame,49.53333333333333
Luke Farrell,TE,JAX,tier_6,ScrimmmageYardsPerGame,0.7142857142857143
Trevor Lawrence,QB,JAX,tier_3,ScrimmmageYardsPerGame,6.357142857142857
James Robinson,HB,JAX,tier_1,ScrimmmageYardsPerGame,89.61538461538461
Jay Symonds,FB,ARI,tier_4,ScrimmmageYardsPerGame,1.0666666666666667
Marquez Callaway,WR,NO,tier_4,ScrimmmageYardsPerGame,49.266666666666666
Adam Trautman,TE,NO,tier_4,ScrimmmageYardsPerGame,44.93333333333333
Phil Jurkovec,QB,GB,tier_6,ScrimmmageYardsPerGame,0.0
Braden Galloway,TE,GB,tier_5,ScrimmmageYardsPerGame,39.6
Amari Rodgers,WR,GB,tier_4,ScrimmmageYardsPerGame,62.6
Josiah Deguara,TE,GB,tier_5,ScrimmmageYardsPerGame,2.2666666666666666
Jordan Love,QB,GB,tier_6,ScrimmmageYardsPerGame,9.933333333333334
Aaron Jones,HB,GB,tier_3,ScrimmmageYardsPerGame,48.2
Erick All,TE,DET,tier_6,ScrimmmageYardsPerGame,0.9285714285714286
Mason Rudolph,QB,DET,tier_6,ScrimmmageYardsPerGame,2.3333333333333335
Pierre Strong Jr,HB,DET,tier_6,ScrimmmageYardsPerGame,0.5333333333333333
Tre'Quan Smith,WR,DET,tier_4,ScrimmmageYardsPerGame,56.2
Jonathan Ward,HB,DET,tier_6,ScrimmmageYardsPerGame,19.166666666666668
Amon-Ra St. Brown,WR,DET,tier_5,ScrimmmageYardsPerGame,46.266666666666666
D'Andre Swift,HB,DET,tier_2,ScrimmmageYardsPerGame,102.6
DeVonta Smith,WR,PHI,tier_2,ScrimmmageYardsPerGame,44.46153846153846
Jared Goff,QB,DET,tier_5,ScrimmmageYardsPerGame,12.153846153846153
Pearse Migl,FB,SEA,tier_6,ScrimmmageYardsPerGame,0.0
Saquon Barkley,HB,SEA,tier_2,ScrimmmageYardsPerGame,108.53333333333333
Travis Ranks,QB,SEA,tier_6,ScrimmmageYardsPerGame,0.0
Tyler Davis,TE,MIN,tier_6,ScrimmmageYardsPerGame,0.7333333333333333
Kelvin Harmon,WR,MIN,tier_5,ScrimmmageYardsPerGame,60.266666666666666
Easton Stick,QB,TB,tier_6,ScrimmmageYardsPerGame,0.0
Tony Pollard,HB,TB,tier_2,ScrimmmageYardsPerGame,96.35714285714286
Isaiah Likely,TE,TB,tier_6,ScrimmmageYardsPerGame,7.6
Eric Gray,HB,TB,tier_5,ScrimmmageYardsPerGame,1.4
Jaelon Darden,WR,TB,tier_5,ScrimmmageYardsPerGame,18.2
Tyler Johnson,WR,TB,tier_6,ScrimmmageYardsPerGame,28.928571428571427
Scotty Miller,WR,TB,tier_4,ScrimmmageYardsPerGame,61.357142857142854
O.J. Howard,TE,TB,tier_4,ScrimmmageYardsPerGame,64.33333333333333
Mike Evans,WR,TB,tier_2,ScrimmmageYardsPerGame,60.6
Cole Turner,TE,SEA,tier_5,ScrimmmageYardsPerGame,4.466666666666667
Dalton Keene,TE,DET,tier_6,ScrimmmageYardsPerGame,27.666666666666668
Monte Pottebaum,FB,DET,tier_5,ScrimmmageYardsPerGame,0.4
Chigoziem Okonkwo,FB,CAR,tier_6,ScrimmmageYardsPerGame,2.533333333333333
Jaylan Knighton,HB,DAL,tier_4,ScrimmmageYardsPerGame,25.923076923076923
Blake Jarwin,TE,PHI,tier_5,ScrimmmageYardsPerGame,5.466666666666667
Tyrie Cleveland,WR,CLE,tier_6,ScrimmmageYardsPerGame,0.0
Jalen Reagor,WR,PHI,tier_3,ScrimmmageYardsPerGame,61.4
Aaron Fuller,WR,JAX,tier_6,ScrimmmageYardsPerGame,23.466666666666665
Tyquan Thornton,WR,NO,tier_6,ScrimmmageYardsPerGame,4.785714285714286
D.K. Metcalf,WR,SEA,tier_0,ScrimmmageYardsPerGame,56.13333333333333
Donovan Peoples-Jones,WR,CLE,tier_5,ScrimmmageYardsPerGame,46.06666666666667
Van Jefferson,WR,LAR,tier_4,ScrimmmageYardsPerGame,47.86666666666667
Garrett Wilson,WR,PHI,tier_2,ScrimmmageYardsPerGame,58.666666666666664
John Emery Jr,HB,CAR,tier_5,ScrimmmageYardsPerGame,25.214285714285715
Tutu Atwell,WR,LAR,tier_6,ScrimmmageYardsPerGame,16.833333333333332
Michael Haupert,HB,NYG,tier_6,ScrimmmageYardsPerGame,1.0909090909090908
De'Michael Harris,WR,DEN,tier_6,ScrimmmageYardsPerGame,5.076923076923077
Nyheim Hines,HB,IND,tier_2,ScrimmmageYardsPerGame,20.866666666666667
Olabisi Johnson,WR,TEN,tier_5,ScrimmmageYardsPerGame,40.666666666666664
Gary Jennings,WR,SF,tier_5,ScrimmmageYardsPerGame,9.666666666666666
Tyler Goodson,HB,CLE,tier_5,ScrimmmageYardsPerGame,33.4
K.J. Hamler,WR,DEN,tier_4,ScrimmmageYardsPerGame,28.866666666666667
Freddie Swain,WR,SEA,tier_5,ScrimmmageYardsPerGame,0.6
Ihmir Smith-Marsette,WR,MIN,tier_6,ScrimmmageYardsPerGame,16.8
Bryan Edwards,WR,LV,tier_5,ScrimmmageYardsPerGame,12.266666666666667
Isaiah Hill,WR,LAC,tier_6,ScrimmmageYardsPerGame,0.0
Rashard Higgins,WR,LAC,tier_4,ScrimmmageYardsPerGame,53.666666666666664
Justice Hill,HB,WAS,tier_4,ScrimmmageYardsPerGame,46.45454545454545
Dax Milne,WR,WAS,tier_6,ScrimmmageYardsPerGame,0.0
Joe Reed,WR,DET,tier_6,ScrimmmageYardsPerGame,2.7333333333333334
Shi Smith,WR,CAR,tier_6,ScrimmmageYardsPerGame,2.8666666666666667
WanDale Robinson,WR,PHI,tier_6,ScrimmmageYardsPerGame,1.0
Dontay Demus Jr.,WR,NYJ,tier_5,ScrimmmageYardsPerGame,11.866666666666667
Erik Ezukanma,WR,PIT,tier_6,ScrimmmageYardsPerGame,0.0
Steven Sims,WR,SF,tier_4,ScrimmmageYardsPerGame,46.86666666666667
Stefon Diggs,WR,BUF,tier_0,ScrimmmageYardsPerGame,66.93333333333334
